,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-23,19.26,16.27,2.99,18.3774
1,2022-09-30,2022-11-17,12.92,11.61,1.31,11.2834
2,2022-06-30,2022-08-04,11.68,10.39,1.29,12.4158
3,2022-03-31,2022-05-26,7.95,7.33,0.62,8.4584
4,2021-12-31,2022-02-24,16.87,16.18,0.69,4.2645
5,2021-09-30,2021-11-18,11.2,12.36,-1.16,-9.3851
6,2021-06-30,2021-08-03,16.6,14.43,2.17,15.0381
7,2021-03-31,2021-05-13,10.32,11.11,-0.79,-7.1107
8,2020-12-31,2021-02-02,22.03,20.87,1.16,5.5582
9,2020-09-30,2020-11-05,17.97,14.08,3.89,27.6278
10,2020-06-30,2020-08-20,14.82,13.77,1.05,7.6253
11,2020-03-31,2020-05-22,9.2,6.1,3.1,50.8197
12,2019-12-31,2020-02-13,18.19,15.74,2.45,15.5654
13,2019-09-30,2019-11-01,13.1,10.65,2.45,23.0047
14,2019-06-30,2019-08-15,12.55,10.29,2.26,21.9631
15,2019-03-31,2019-05-15,8.57,6.57,2,30.4414
16,2018-12-31,2019-01-30,12.19,11.28,0.91,8.0674
17,2018-09-30,2018-11-02,9.6,7.41,2.19,29.5547
18,2018-06-30,2018-08-23,8.04,8.18,-0.14,-1.7115
19,2018-03-31,2018-05-04,5.73,5.45,0.28,5.1376
20,2017-12-31,2018-02-01,10.61,10.56,0.05,0.4735
21,2017-09-30,2017-11-02,8.57,6.85,1.72,25.1095
22,2017-06-30,2017-08-17,7.95,6.22,1.73,27.8135
23,2017-03-31,2017-05-18,4.35,4.48,-0.13,-2.9018
24,2016-12-31,2017-01-24,9.02,7.74,1.28,16.5375
25,2016-09-30,2016-11-02,5.26,4.68,0.58,12.3932
26,2016-06-30,2016-08-11,4.9,4.16,0.74,17.7885
27,2016-03-31,2016-05-05,3.02,3.6,-0.58,-16.1111
28,2015-12-31,2016-01-28,6.43,5.78,0.65,11.2457
29,2015-09-30,2015-10-27,3.63,3.42,0.21,6.1404
30,2015-06-30,2015-08-12,0.59,0.58,0.01,1.7241
31,2015-03-31,2015-05-07,0.48,0.42,0.06,14.2857
32,2014-12-31,2015-01-29,0.81,0.75,0.06,8
33,2014-09-30,2014-11-04,0.45,0.45,0,0
