,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2023-03-31,2023-05-16,16.1,12.47,3.63,29.1099
1,2022-12-31,2023-02-21,15.36,13.73,1.63,11.8718
2,2022-09-30,2022-11-21,16.87,15.33,1.54,10.0457
3,2022-06-30,2022-08-30,15.79,10.44,5.35,51.2452
4,2022-03-31,2022-05-26,11.22,5.4,5.82,107.7778
5,2021-12-31,2022-02-28,11.5,8.7,2.8,32.1839
6,2021-09-30,2021-11-16,14.66,12.81,1.85,14.4418
7,2021-06-30,2021-08-12,15.41,13.02,2.39,18.3564
8,2021-03-31,2021-05-18,12.38,10.75,1.63,15.1628
9,2020-12-31,2021-02-17,20.08,16.88,3.2,18.9573
10,2020-09-30,2020-11-16,20.35,13.59,6.76,49.7425
11,2020-06-30,2020-08-13,14.73,9.59,5.14,53.5975
12,2020-03-31,2020-05-18,8.84,4,4.84,121
13,2019-12-31,2020-02-27,26.54,25.67,0.87,3.3892
14,2019-09-30,2019-11-06,12.61,7.88,4.73,60.0254
15,2019-06-30,2019-08-19,10.11,6.13,3.98,64.9266
16,2019-03-31,2019-05-16,2.77,2.9,-0.13,-4.4828
17,2018-12-31,2019-02-21,13.18,11.78,1.4,11.8846
18,2018-09-30,2018-10-30,19.01,16.74,2.27,13.5603
19,2018-06-30,2018-07-31,21.06,16.58,4.48,27.0205
20,2018-03-31,2018-04-26,16.3,10.57,5.73,54.21
21,2017-12-31,2018-02-13,14.9,13.32,1.58,11.8619
22,2017-09-30,2017-10-26,13.93,13.54,0.39,2.8804
23,2017-06-30,2017-07-27,16,10.21,5.79,56.7091
24,2017-03-31,2017-04-27,6.85,6.07,0.78,12.8501
25,2016-12-31,2017-02-23,6.49,6.25,0.24,3.84
26,2016-09-30,2016-10-27,8.51,5.95,2.56,43.0252
27,2016-06-30,2016-07-28,6.57,6.56,0.01,0.1524
28,2016-03-31,2016-04-28,5.91,5.64,0.27,4.7872
29,2015-12-31,2016-02-25,7.61,6.62,0.99,14.9547
30,2015-09-30,2015-10-29,7.92,7.17,0.75,10.4603
31,2015-06-30,2015-07-27,10.19,10.58,-0.39,-3.6862
32,2015-03-31,2015-04-29,6.76,6.63,0.13,1.9608
33,2014-12-31,2015-02-11,9.01,9.94,-0.93,-9.3561
34,2014-09-30,2014-10-29,11,9.75,1.25,12.8205
35,2014-06-30,2014-07-24,10.09,8.19,1.9,23.199
36,2014-03-31,2014-04-24,7.21,5.97,1.24,20.7705
37,2013-12-31,2014-02-26,7.9,8.19,-0.29,-3.5409
38,2013-09-30,2013-10-29,8.63,8.65,-0.02,-0.2312
39,2013-06-30,2013-07-24,1.22,1.21,0.01,0.8264
40,2013-03-31,2013-04-26,0.9381,None,None,None
41,2012-12-31,2013-02-04,1.28,1.29,-0.01,-0.7752
42,2012-09-30,2012-10-29,1.37,1.28,0.09,7.0313
43,2012-06-30,2012-07-23,1.24,1.11,0.13,11.7117
44,2012-03-31,2012-04-24,0.85,0.84,0.01,1.1905
45,2011-12-31,2012-02-16,0.92,0.91,0.01,1.0989
46,2011-09-30,2011-10-27,0.84,0.83,0.01,1.2048
47,2011-06-30,2011-07-25,0.72,0.66,0.06,9.0909
48,2011-03-31,2011-04-27,0.47,0.45,0.02,4.4444
49,2010-12-31,2011-01-31,0.5,0.45,0.05,11.1111
50,2010-09-30,2010-10-21,0.45,0.42,0.03,7.1429
51,2010-06-30,2010-07-21,0.35,0.31,0.04,12.9032
52,2010-03-31,2010-04-28,0.2,0.15,0.05,33.3333
53,2009-12-31,2010-02-09,0.18,0.17,0.01,5.8824
54,2009-09-30,2009-10-26,0.21,0.18,0.03,16.6667
55,2009-06-30,2009-07-23,0.16,0.14,0.02,14.2857
56,2009-03-31,2009-04-27,0.08,0.08,0,0
57,2008-12-31,2009-02-18,0.12,0.13,-0.01,-7.6923
58,2008-09-30,2008-10-22,0.15,0.13,0.02,15.3846
59,2008-06-30,2008-07-23,0.11,0.1,0.01,10
60,2008-03-31,2008-04-24,0.06,0.06,0,0
61,2007-12-31,2008-02-13,0.09,0.07,0.02,28.5714
62,2007-09-30,2007-10-25,0.07,0.06,0.01,16.6667
63,2007-06-30,2007-07-25,0.05,0.04,0.01,25
64,2007-03-31,2007-04-26,0.03,0.03,0,0
65,2006-12-31,2007-02-14,0.05,0.03,0.02,66.6667
66,2006-09-30,2006-10-31,0.03,0.03,0,0
67,2006-06-30,2006-07-26,0.02,0.02,0,0
68,2006-03-31,2006-05-09,0.01,0.01,0,0
69,2005-12-31,2006-02-21,0.01,0.01,0,0
70,2005-09-30,2005-10-26,0.01,0.01,0,0
71,2005-06-30,2005-08-24,0.0045,None,None,None
