,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2023-03-31,2023-05-16,0.97,0.06,0.91,1516.6667
1,2022-12-31,2023-02-21,0.35,0.12,0.23,191.6667
2,2022-09-30,2022-11-21,-0.46,-0.09,-0.37,-411.1111
3,2022-06-30,2022-08-30,-0.28,-0.42,0.14,33.3333
4,2022-03-31,2022-05-26,0.21,-0.7,0.91,130
5,2021-12-31,2022-02-28,-2.02,-2,-0.02,-1
6,2021-09-30,2021-11-16,-2.17,-2.22,0.05,2.2523
7,2021-06-30,2021-08-12,-1.75,-2.23,0.48,21.5247
8,2021-03-31,2021-05-18,-1.61,-2.31,0.7,30.303
9,2020-12-31,2021-02-17,-2.1,-2.45,0.35,14.2857
10,2020-09-30,2020-11-16,-1.61,-2.66,1.05,39.4737
11,2020-06-30,2020-08-13,-1.96,-3.4,1.44,42.3529
12,2020-03-31,2020-05-18,-3.92,-3.88,-0.04,-1.0309
13,2019-12-31,2020-02-27,-3.43,-4.26,0.83,19.4836
14,2019-09-30,2019-11-06,-5.04,-5.11,0.07,1.3699
15,2019-06-30,2019-08-19,-3.22,-3.11,-0.11,-3.537
16,2019-03-31,2019-05-16,-2.52,-3.45,0.93,26.9565
17,2018-12-31,2019-02-21,-4.83,-4.83,0,0
18,2018-09-30,2018-10-30,-4.34,-2.97,-1.37,-46.1279
19,2018-06-30,2018-08-02,-3.01,-2.07,-0.94,-45.4106
20,2018-03-31,2018-04-26,-13.79,-1.12,-12.67,-1131.25
21,2017-12-31,2018-03-29,3.76,0,3.76,None
