,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-03-16,2.46,1.96,0.5,25.5102
1,2022-09-30,2022-12-07,2.6,2.14,0.46,21.4953
2,2022-06-30,2022-09-01,2.22,1.7,0.52,30.5882
3,2022-03-31,2022-06-07,1.94,1.6,0.34,21.25
4,2021-12-31,2022-03-24,1.38,1.66,-0.28,-16.8675
5,2021-09-30,2021-11-29,2.61,2.02,0.59,29.2079
6,2021-06-30,2021-08-26,2.54,2.19,0.35,15.9817
7,2021-03-31,2021-06-07,2.91,2.34,0.57,24.359
8,2020-12-31,2021-03-24,3.72,2.72,1,36.7647
9,2020-09-30,2020-11-30,2.98,2.52,0.46,18.254
10,2020-06-30,2020-09-03,3.05,2.94,0.11,3.7415
11,2020-03-31,2020-05-27,3.34,3.03,0.31,10.231
12,2019-12-31,2020-03-19,5.52,5.24,0.28,5.3435
13,2019-09-30,2019-11-25,4.8,4.33,0.47,10.8545
14,2019-06-30,2019-08-26,5.6,5.05,0.55,10.8911
15,2019-03-31,2019-05-28,0.62,0.54,0.08,14.8148
16,2018-12-31,2019-03-12,0.59,0.52,0.07,13.4615
17,2018-09-30,2018-12-05,0.53,0.52,0.01,1.9231
18,2018-06-30,2018-08-21,0.66,0.61,0.05,8.1967
19,2018-03-31,2018-05-28,0.69,0.5,0.19,38
20,2017-12-31,2018-03-06,0.53,0.46,0.07,15.2174
21,2017-09-30,2017-11-27,0.45,0.38,0.07,18.4211
22,2017-06-30,2017-08-22,0.35,0.31,0.04,12.9032
23,2017-03-31,2017-05-23,0.44,0.32,0.12,37.5
24,2016-12-31,2017-03-07,0.44,0.3,0.14,46.6667
25,2016-09-30,2016-11-08,0.24,0.14,0.1,71.4286
26,2016-06-30,2016-08-16,0.12,0.08,0.04,50
27,2016-03-31,2016-05-17,0.06,0.05,0.01,20
28,2015-12-31,2016-03-15,0.06,0.04,0.02,50
29,2015-09-30,2015-11-19,0.02,0.02,0,0
30,2015-06-30,2015-08-19,0.03,-0.01,0.04,400
31,2015-03-31,2015-05-18,0.02,-0.01,0.03,300
32,2014-12-31,2015-03-04,0.02,-0.01,0.03,300
