,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-03-01,-3.07,-1.77,-1.3,-73.4463
1,2022-09-30,2022-11-10,-2.11,-1.14,-0.97,-85.0877
2,2022-06-30,2022-09-07,-1.34,-1.15,-0.19,-16.5217
3,2022-03-31,2022-06-09,-0.79,-0.87,0.08,9.1954
4,2021-12-31,2022-03-24,-1.36,-2.97,1.61,54.2088
5,2021-09-30,2021-11-09,-1.82,-0.59,-1.23,-208.4746
6,2021-06-30,2021-08-11,-0.42,-0.68,0.26,38.2353
7,2021-03-31,2021-04-29,-3.14,-1.01,-2.13,-210.8911
8,2020-12-31,2021-03-01,-1.05,-0.47,-0.58,-123.4043
9,2020-09-30,2020-11-17,-0.82,-1.11,0.29,26.1261
10,2020-06-30,2020-08-11,-1.08,-1.84,0.76,41.3043
11,2020-03-31,2020-05-28,-1.6,-1.85,0.25,13.5135
12,2019-12-31,2020-03-18,-2.73,-1.84,-0.89,-48.3696
13,2019-09-30,2019-12-30,-2.38,-2.43,0.05,2.0576
14,2019-06-30,2019-09-24,-3.11,-1.66,-1.45,-87.3494
15,2019-03-31,2019-05-28,-2.42,-3.23,0.81,25.0774
16,2018-12-31,2019-03-05,-3.2,-2.16,-1.04,-48.1481
17,2018-09-30,2018-11-05,-10.35,-2.36,-7.99,-338.5593
18,2018-06-30,2018-09-12,-1.51,None,None,None
