,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-23,7.35,8.03,-0.68,-8.4682
1,2022-09-30,2022-11-16,11.35,7.44,3.91,52.5538
2,2022-06-30,2022-08-18,8.2,6.77,1.43,21.1226
3,2022-03-31,2022-05-24,7.7,7.19,0.51,7.0932
4,2021-12-31,2022-02-23,9.8,6.59,3.21,48.7102
5,2021-09-30,2021-11-15,5.75,5.96,-0.21,-3.5235
6,2021-06-30,2021-08-31,6.24,5.87,0.37,6.3032
7,2021-03-31,2021-05-18,7.47,6.25,1.22,19.52
8,2020-12-31,2021-02-25,2.35,2.91,-0.56,-19.244
9,2020-09-30,2020-11-18,5.35,2.56,2.79,108.9844
10,2020-06-30,2020-08-13,7.96,6.43,1.53,23.7947
11,2020-03-31,2020-05-19,6.43,5.63,0.8,14.2096
12,2019-12-31,2020-02-26,5.61,4.95,0.66,13.3333
13,2019-09-30,2019-11-20,7.26,4.42,2.84,64.2534
14,2019-06-30,2019-08-07,5.61,3.71,1.9,51.2129
15,2019-03-31,2019-05-15,4.67,3.14,1.53,48.7261
16,2018-12-31,2019-02-20,2.64,2.04,0.6,29.4118
17,2018-09-30,2018-11-14,2.47,2.52,-0.05,-1.9841
18,2018-06-30,2018-08-08,3.23,2.87,0.36,12.5436
19,2018-03-31,2018-05-17,1.14,2.07,-0.93,-44.9275
20,2017-12-31,2018-02-08,1.94,2.49,-0.55,-22.0884
21,2017-09-30,2017-11-15,3.81,3.72,0.09,2.4194
22,2017-06-30,2017-08-09,4.48,5.11,-0.63,-12.3288
23,2017-03-31,2017-05-10,5.91,5.44,0.47,8.6397
24,2016-12-31,2017-02-15,5.56,4.65,0.91,19.5699
25,2016-09-30,2016-11-09,4.15,3.92,0.23,5.8673
26,2016-06-30,2016-08-17,4.53,3.46,1.07,30.9249
27,2016-03-31,2016-05-11,3.71,2.98,0.73,24.4966
28,2015-12-31,2016-02-24,3.27,2.96,0.31,10.473
29,2015-09-30,2015-11-11,2.84,2.25,0.59,26.2222
30,2015-06-30,2015-08-12,2.15,2.2,-0.05,-2.2727
31,2015-03-31,2015-05-13,1.92,1.74,0.18,10.3448
32,2014-12-31,2015-02-09,1.93,1.93,0,0
33,2014-09-30,2014-11-12,1.77,1.81,-0.04,-2.2099
34,2014-06-30,2014-08-14,0.3,0.29,0.01,3.4483
35,2014-03-31,2014-05-14,0.28,0.28,0,0
36,2013-12-31,2014-02-12,0.31,0.28,0.03,10.7143
37,2013-09-30,2013-11-13,0.26,0.27,-0.01,-3.7037
38,2013-06-30,2013-08-14,0.27,0.25,0.02,8
39,2013-03-31,2013-05-16,0.26,0.24,0.02,8.3333
40,2012-12-31,2013-02-07,0.25,0.22,0.03,13.6364
41,2012-09-30,2012-11-14,0.2,0.22,-0.02,-9.0909
42,2012-06-30,2012-08-15,0.21,0.22,-0.01,-4.5455
43,2012-03-31,2012-05-16,0.23,0.2,0.03,15
44,2011-12-31,2012-02-14,0.22,0.2,0.02,10
45,2011-09-30,2011-11-16,0.2,0.18,0.02,11.1111
46,2011-06-30,2011-08-17,0.18,0.16,0.02,12.5
47,2011-03-31,2011-05-18,0.17,0.14,0.03,21.4286
48,2010-12-31,2011-02-24,0.17,0.14,0.03,21.4286
49,2010-09-30,2010-11-17,0.13,0.13,0,0
50,2010-06-30,2010-08-18,0.11,0.12,-0.01,-8.3333
51,2010-03-31,2010-05-19,0.1,0.12,-0.02,-16.6667
52,2009-12-31,2010-02-24,0.13,0.12,0.01,8.3333
53,2009-09-30,2009-11-18,0.09,0.1,-0.01,-10
54,2009-06-30,2009-08-13,0.11,0.09,0.02,22.2222
55,2009-03-31,2009-05-20,0.09,0.09,0,0
56,2008-12-31,2009-02-25,0.13,0.09,0.04,44.4444
57,2008-09-30,2008-11-12,0.07,0.08,-0.01,-12.5
58,2008-06-30,2008-08-13,0.1,0.08,0.02,25
59,2008-03-31,2008-05-21,0.06,0.06,0,0
60,2007-12-31,2008-02-20,0.08,0.06,0.02,33.3333
61,2007-09-30,2007-11-07,0.05,0.06,-0.01,-16.6667
62,2007-06-30,2007-08-13,0.06,0.06,0,0
63,2007-03-31,2007-05-21,0.06,0.05,0.01,20
64,2006-12-31,2007-02-16,0.06,0.05,0.01,20
65,2006-09-30,2006-11-06,0.06,0.06,0,0
66,2006-06-30,2006-08-14,0.06,0.05,0.01,20
67,2006-03-31,2006-05-16,0.05,0.05,0,0
68,2005-12-31,2006-02-23,0.05,0.04,0.01,25
69,2005-09-30,2005-11-07,0.04,0.05,-0.01,-20
70,2005-06-30,2005-08-02,0.04,0.03,0.01,33.3333
71,2005-03-31,2005-04-26,0.03,0.02,0.01,50
72,2004-12-31,2005-02-22,0.02,0.02,0,0
73,2004-09-30,2004-11-08,0.02,0.02,0,0
74,2004-06-30,2004-08-02,0.02,0.02,0,0
75,2004-03-31,2004-04-29,0.02,0.02,0,0
76,2003-12-31,2004-02-17,0.02,0.02,0,0
77,2003-09-30,2003-10-28,0.02,0.02,0,0
78,2003-06-30,2003-07-28,0.01,0.01,0,0
79,2003-03-31,2003-04-28,0.01,0.01,0,0
80,2002-12-31,2003-02-25,0.01,0.01,0,0
81,2002-09-30,2002-09-30,-0.0018,None,None,None
82,2002-06-30,2002-06-30,0,None,None,None
83,2002-03-31,2002-03-31,-0.0036,None,None,None
