,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-03-20,8.34,8.3,0.04,0.4819
1,2022-09-30,2022-11-28,8.62,4.69,3.93,83.7953
2,2022-06-30,2022-08-29,7.54,2.76,4.78,173.1884
3,2022-03-31,2022-05-15,2.95,1.7,1.25,73.5294
4,2021-12-31,2022-03-21,5.88,2.21,3.67,166.0633
5,2021-09-30,2021-11-26,2.18,0.15,2.03,1353.3333
6,2021-06-30,2021-08-24,2.85,-1.32,4.17,315.9091
7,2021-03-31,2021-05-26,-1.52,-2.66,1.14,42.8571
8,2020-12-31,2021-03-17,-0.15,0.08,-0.23,-287.5
9,2020-09-30,2020-11-12,0.33,-1.12,1.45,129.4643
10,2020-06-30,2020-08-21,-0.06,-1.4,1.34,95.7143
11,2020-03-31,2020-05-22,-2.73,-1.97,-0.76,-38.5787
12,2019-12-31,2020-03-11,-0.72,-1.56,0.84,53.8462
13,2019-09-30,2019-11-20,-1.44,-0.53,-0.91,-171.6981
14,2019-06-30,2019-08-21,-0.36,-1.37,1.01,73.7226
15,2019-03-31,2019-05-20,-1.2,-1.7,0.5,29.4118
16,2018-12-31,2019-03-13,-1.72,-1.47,-0.25,-17.0068
17,2018-09-30,2018-11-20,-0.68,-1.68,1,59.5238
18,2018-06-30,2018-07-26,-0.05,None,None,None
19,2018-03-31,2018-05-30,0.18,0,0.18,None
