,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-03-06,0.76,-0.18,0.94,522.2222
1,2022-09-30,2022-12-14,1.58,1.2,0.38,31.6667
2,2022-06-30,2022-09-21,-0.31,0.16,-0.47,-293.75
3,2022-03-31,2022-06-27,-0.06,-0.55,0.49,89.0909
4,2021-12-31,2022-03-23,0.48,-0.58,1.06,182.7586
5,2021-09-30,2021-12-15,0.81,0.07,0.74,1057.1429
6,2021-06-30,2021-09-23,1.13,0.38,0.75,197.3684
7,2021-03-31,2021-05-04,-0.34,-2.12,1.78,83.9623
8,2020-12-31,2021-03-03,1.75,0.28,1.47,525
9,2020-09-30,2020-12-01,2.32,1.09,1.23,112.844
10,2020-06-30,2020-09-24,-1.93,-3.12,1.19,38.141
11,2020-03-31,2020-05-28,-3.73,-3.63,-0.1,-2.7548
12,2019-12-31,2020-03-18,1.94,0.82,1.12,136.5854
13,2019-09-30,2019-11-13,3.7,2.02,1.68,83.1683
14,2019-06-30,2019-09-09,2.25,2.11,0.14,6.6351
15,2019-03-31,2019-05-23,2.93,1.65,1.28,77.5758
16,2018-12-31,2019-03-05,0.9,-0.22,1.12,509.0909
17,2018-09-30,2018-11-07,2.88,1.9,0.98,51.5789
18,2018-06-30,2018-09-05,1.9,1.36,0.54,39.7059
19,2018-03-31,2018-05-22,3.48,0.99,2.49,251.5152
20,2017-12-31,2018-03-15,1.56,1.01,0.55,54.4554
21,2017-09-30,2017-11-01,2.7,1.56,1.14,73.0769
22,2017-06-30,2017-08-30,1.49,1.33,0.16,12.0301
23,2017-03-31,2017-05-10,0.15,-0.48,0.63,131.25
24,2016-12-31,2017-02-22,1.18,-0.1,1.28,1280
25,2016-09-30,2016-10-14,0.05,-0.57,0.62,108.7719
26,2016-06-30,2016-08-31,-1.13,-1.33,0.2,15.0376
27,2016-03-31,2016-06-15,-3.49,-3.62,0.13,3.5912
28,2015-12-31,2016-03-16,0.19,-0.04,0.23,575
29,2015-09-30,2015-11-18,1.05,0.04,1.01,2525
30,2015-06-30,2015-08-03,0.47,0.04,0.43,1075
31,2015-03-31,2015-05-13,-0.07,-0.13,0.06,46.1538
32,2014-12-31,2015-03-19,-0.13,-0.18,0.05,27.7778
33,2014-09-30,2014-11-25,0.11,0.1,0.01,10
34,2014-06-30,2014-07-30,0.07,0.02,0.05,250
35,2014-03-31,2014-05-07,0.06,0.06,0,0
36,2013-12-31,2014-02-12,0.14,0.12,0.02,16.6667
37,2013-09-30,2013-11-05,0.2,0.14,0.06,42.8571
38,2013-06-30,2013-07-31,0.12,0.08,0.04,50
39,2013-03-31,2013-05-08,0.09,0.06,0.03,50
40,2012-12-31,2013-01-31,0.11,0.06,0.05,83.3333
41,2012-09-30,2012-11-05,0.11,0.08,0.03,37.5
42,2012-06-30,2012-07-24,0.07,0.04,0.03,75
43,2012-03-31,2012-05-16,0.09,0.09,0,0
44,2011-12-31,2012-02-20,0.14,0.14,0,0
45,2011-09-30,2011-11-13,0.17,0.16,0.01,6.25
46,2011-06-30,2011-08-01,0.14,0.13,0.01,7.6923
47,2011-03-31,2011-05-16,0.12,0.11,0.01,9.0909
48,2010-12-31,2011-02-13,0.15,0.12,0.03,25
49,2010-09-30,2010-11-02,0.16,0.12,0.04,33.3333
50,2010-06-30,2010-08-09,0.12,0.11,0.01,9.0909
51,2010-03-31,2010-05-11,0.1,0.09,0.01,11.1111
52,2009-12-31,2010-02-02,0.1,0.1,0,0
53,2009-09-30,2009-11-11,0.1,0.08,0.02,25
54,2009-06-30,2009-08-04,0.08,0.07,0.01,14.2857
55,2009-03-31,2009-05-11,0.07,0.05,0.02,40
56,2008-12-31,2009-02-08,0.07,0.06,0.01,16.6667
57,2008-09-30,2008-11-17,0.06,0.05,0.01,20
58,2008-06-30,2008-08-13,0.06,0.05,0.01,20
59,2008-03-31,2008-05-14,0.05,0.05,0,0
60,2007-12-31,2008-02-27,0.07,0.05,0.02,40
61,2007-09-30,2007-11-07,0.05,0.04,0.01,25
62,2007-06-30,2007-08-06,0.04,0.04,0,0
63,2007-03-31,2007-05-16,0.03,0.03,0,0
64,2006-12-31,2007-02-11,0.03,0.03,0,0
65,2006-09-30,2006-11-08,0.03,0.03,0,0
66,2006-06-30,2006-08-09,0.03,0.03,0,0
67,2006-03-31,2006-05-17,0.02,0.02,0,0
68,2005-12-31,2006-02-22,0.03,0.02,0.01,50
69,2005-09-30,2005-11-10,0.03,0.03,0,0
70,2005-06-30,2005-08-04,0.03,0.02,0.01,50
71,2005-03-31,2005-04-28,0.02,0.01,0.01,100
72,2004-12-31,2005-02-22,0.02,0.02,0,0
73,2004-09-30,2004-11-10,0.02,0.02,0,0
74,2004-06-30,2004-08-05,0.01,0.01,0,0
75,2004-03-31,2004-04-28,0.01,0.01,0,0
76,2003-12-31,2004-02-23,0.01,0.01,0,0
