,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2022-12-31,2023-02-28,0.75,0.52,0.23,44.2308
1,2022-09-30,2022-11-16,0.5,0.51,-0.01,-1.9608
2,2022-06-30,2022-09-01,0.46,0.44,0.02,4.5455
3,2022-03-31,2022-06-01,0.56,0.46,0.1,21.7391
4,2021-12-31,2022-03-02,0.83,0.81,0.02,2.4691
5,2021-09-30,2021-11-10,0.9,0.84,0.06,7.1429
6,2021-06-30,2021-08-18,0.79,0.63,0.16,25.3968
7,2021-03-31,2021-05-10,0.57,0.47,0.1,21.2766
8,2020-12-31,2021-03-18,0.92,0.74,0.18,24.3243
9,2020-09-30,2020-12-28,0.66,0.6,0.06,10
10,2020-06-30,2020-09-28,0.5,0.46,0.04,8.6957
11,2020-03-31,2020-05-19,0.3,0.3,0,0
12,2019-12-31,2020-02-26,0.77,0.72,0.05,6.9444
13,2019-09-30,2019-11-13,0.77,0.73,0.04,5.4795
14,2019-06-30,2019-08-19,0.68,0.59,0.09,15.2542
15,2019-03-31,2019-05-23,0.56,0.53,0.03,5.6604
16,2018-12-31,2019-03-04,0.8,0.75,0.05,6.6667
17,2018-09-30,2018-11-28,0.75,0.7,0.05,7.1429
18,2018-06-30,2018-08-08,0.68,0.66,0.02,3.0303
19,2018-03-31,2018-05-09,0.5,0.47,0.03,6.383
20,2017-12-31,2018-02-12,0.64,0.58,0.06,10.3448
21,2017-09-30,2017-10-24,0.51,0.45,0.06,13.3333
22,2017-06-30,2017-08-09,0.38,0.36,0.02,5.5556
23,2017-03-31,2017-05-16,0.26,0.21,0.05,23.8095
24,2016-12-31,2017-02-22,0.34,0.28,0.06,21.4286
25,2016-09-30,2016-11-21,0.24,0.2,0.04,20
26,2016-06-30,2016-08-08,0.16,0.11,0.05,45.4545
27,2016-03-31,2016-05-11,0.07,0.04,0.03,75
28,2015-12-31,2016-03-02,0.15,0.13,0.02,15.3846
29,2015-09-30,2015-11-18,0.1,0.06,0.04,66.6667
30,2015-06-30,2015-08-18,0.05,0.03,0.02,66.6667
31,2015-03-31,2015-05-14,0.01,0.01,0,0
32,2014-12-31,2015-03-10,0.04,0.04,0,0
33,2014-09-30,2014-11-13,-0.01,-0.01,0,0
34,2014-06-30,2014-08-14,-0.03,-0.03,0,0
35,2014-03-31,2014-05-21,-0.03,-0.04,0.01,25
