,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2023-04-30,2023-05-16,0,0.97,-0.97,-100
1,2023-01-31,2023-02-15,0.88,0.86,0.02,2.3256
2,2022-10-31,2022-11-16,0.86,0.84,0.02,2.381
3,2022-07-31,2022-08-17,0.83,0.82,0.01,1.2195
4,2022-04-30,2022-05-18,0.87,0.86,0.01,1.1628
5,2022-01-31,2022-02-16,0.84,0.81,0.03,3.7037
6,2021-10-31,2021-11-17,0.82,0.8,0.02,2.5
7,2021-07-31,2021-08-18,0.84,0.82,0.02,2.439
8,2021-04-30,2021-05-19,0.83,0.82,0.01,1.2195
9,2021-01-31,2021-02-08,0.79,0.76,0.03,3.9474
10,2020-10-31,2020-11-12,0.76,0.7,0.06,8.5714
11,2020-07-31,2020-08-12,0.8,0.74,0.06,8.1081
12,2020-04-30,2020-05-13,0.79,0.69,0.1,14.4928
13,2020-01-31,2020-02-12,0.77,0.76,0.01,1.3158
14,2019-10-31,2019-11-13,0.84,0.81,0.03,3.7037
15,2019-07-31,2019-08-14,0.83,0.82,0.01,1.2195
16,2019-04-30,2019-05-15,0.78,0.77,0.01,1.2987
17,2019-01-31,2019-02-13,0.73,0.72,0.01,1.3889
18,2018-10-31,2018-11-14,0.75,0.72,0.03,4.1667
19,2018-07-31,2018-08-15,0.7,0.69,0.01,1.4493
20,2018-04-30,2018-05-16,0.66,0.65,0.01,1.5385
21,2018-01-31,2018-02-14,0.63,0.59,0.04,6.7797
22,2017-10-31,2017-11-15,0.61,0.6,0.01,1.6667
23,2017-07-31,2017-08-16,0.61,0.61,0,0
24,2017-04-30,2017-05-17,0.6,0.58,0.02,3.4483
25,2017-01-31,2017-02-15,0.57,0.56,0.01,1.7857
26,2016-10-31,2016-11-16,0.61,0.59,0.02,3.3898
27,2016-07-31,2016-08-17,0.63,0.6,0.03,5
28,2016-04-30,2016-05-18,0.57,0.55,0.02,3.6364
29,2016-01-31,2016-02-10,0.57,0.54,0.03,5.5556
30,2015-10-31,2015-11-12,0.59,0.56,0.03,5.3571
31,2015-07-31,2015-08-12,0.59,0.56,0.03,5.3571
32,2015-04-30,2015-05-13,0.54,0.53,0.01,1.8868
33,2015-01-31,2015-02-11,0.53,0.51,0.02,3.9216
34,2014-10-31,2014-11-12,0.54,0.52,0.02,3.8462
35,2014-07-31,2014-08-13,0.55,0.53,0.02,3.7736
36,2014-04-30,2014-05-14,0.51,0.48,0.03,6.25
37,2014-01-31,2014-02-12,0.47,0.46,0.01,2.1739
38,2013-10-31,2013-11-13,0.53,0.51,0.02,3.9216
39,2013-07-31,2013-08-14,0.52,0.51,0.01,1.9608
40,2013-04-30,2013-05-15,0.51,0.49,0.02,4.0816
41,2013-01-31,2013-02-13,0.51,0.48,0.03,6.25
42,2012-10-31,2012-11-13,0.48,0.46,0.02,4.3478
43,2012-07-31,2012-08-15,0.47,0.45,0.02,4.4444
44,2012-04-30,2012-05-09,0.48,0.47,0.01,2.1277
45,2012-01-31,2012-02-08,0.47,0.43,0.04,9.3023
46,2011-10-31,2011-11-09,0.43,0.39,0.04,10.2564
47,2011-07-31,2011-08-10,0.4,0.38,0.02,5.2632
48,2011-04-30,2011-05-11,0.42,0.37,0.05,13.5135
49,2011-01-31,2011-02-09,0.37,0.35,0.02,5.7143
50,2010-10-31,2010-11-10,0.42,0.4,0.02,5
51,2010-07-31,2010-08-11,0.43,0.42,0.01,2.381
52,2010-04-30,2010-05-12,0.42,0.39,0.03,7.6923
53,2010-01-31,2010-02-03,0.4,0.35,0.05,14.2857
54,2009-10-31,2009-11-04,0.36,0.31,0.05,16.129
55,2009-07-31,2009-08-05,0.31,0.29,0.02,6.8966
56,2009-04-30,2009-05-06,0.3,0.24,0.06,25
57,2009-01-31,2009-02-04,0.32,0.3,0.02,6.6667
58,2008-10-31,2008-11-05,0.42,0.39,0.03,7.6923
59,2008-07-31,2008-08-05,0.4,0.39,0.01,2.5641
60,2008-04-30,2008-05-06,0.38,0.36,0.02,5.5556
61,2008-01-31,2008-02-06,0.38,0.38,0,0
62,2007-10-31,2007-11-07,0.4,0.36,0.04,11.1111
63,2007-07-31,2007-08-07,0.36,0.35,0.01,2.8571
64,2007-04-30,2007-05-08,0.34,0.33,0.01,3.0303
65,2007-01-31,2007-02-06,0.33,0.31,0.02,6.4516
66,2006-10-31,2006-11-08,0.31,0.29,0.02,6.8966
67,2006-07-31,2006-08-08,0.3,0.28,0.02,7.1429
68,2006-04-30,2006-05-09,0.29,0.26,0.03,11.5385
69,2006-01-31,2006-02-07,0.26,0.25,0.01,4
70,2005-10-31,2005-11-09,0.25,0.24,0.01,4.1667
71,2005-07-31,2005-08-09,0.25,0.25,0,0
72,2005-04-30,2005-05-10,0.23,0.22,0.01,4.5455
73,2005-01-31,2005-02-08,0.22,0.22,0,0
74,2004-10-31,2004-11-09,0.21,0.21,0,0
75,2004-07-31,2004-08-10,0.21,0.2,0.01,5
76,2004-04-30,2004-05-11,0.19,0.18,0.01,5.5556
77,2004-01-31,2004-02-03,0.18,0.17,0.01,5.8824
78,2003-10-31,2003-11-05,0.17,0.15,0.02,13.3333
79,2003-07-31,2003-08-05,0.15,0.15,0,0
80,2003-04-30,2003-05-06,0.15,0.14,0.01,7.1429
81,2003-01-31,2003-02-04,0.15,0.13,0.02,15.3846
82,2002-10-31,2002-11-06,0.14,0.13,0.01,7.6923
83,2002-07-31,2002-08-06,0.14,0.12,0.02,16.6667
84,2002-04-30,2002-05-07,0.11,0.09,0.02,22.2222
85,2002-01-31,2002-02-06,0.09,0.05,0.04,80
86,2001-10-31,2001-11-05,0.04,0.02,0.02,100
87,2001-07-31,2001-08-07,0.02,0.02,0,0
88,2001-04-30,2001-05-08,0.03,0.01,0.02,200
89,2001-01-31,2001-02-06,0.18,0.19,-0.01,-5.2632
90,2000-10-31,2000-11-06,0.18,0.17,0.01,5.8824
91,2000-07-31,2000-08-08,0.16,0.15,0.01,6.6667
92,2000-04-30,2000-05-09,0.14,0.13,0.01,7.6923
93,2000-01-31,2000-02-08,0.12,0.12,0,0
94,1999-10-31,1999-11-09,0.12,0.11,0.01,9.0909
95,1999-07-31,1999-08-10,0.11,0.1,0.01,10
96,1999-04-30,1999-05-11,0.1,0.09,0.01,11.1111
97,1999-01-31,1999-02-02,0.1,0.09,0.01,11.1111
98,1998-10-31,1998-11-04,0.09,0.08,0.01,12.5
99,1998-07-31,1998-08-04,0.08,0.08,0,0
100,1998-04-30,1998-05-05,0.08,0.07,0.01,14.2857
101,1998-01-31,1998-02-03,0.07,0.07,0,0
102,1997-10-31,1997-11-04,0.07,0.06,0.01,16.6667
103,1997-07-31,1997-08-05,0.06,0.06,0,0
104,1997-04-30,1997-05-06,0.06,0.06,0,0
105,1997-01-31,1997-02-04,0.06,0.06,0,0
106,1996-10-31,1996-11-05,0.05,0.05,0,0
107,1996-07-31,1996-08-15,0.05,0.04,0.01,25
108,1996-04-30,1996-05-09,0.04,0.04,0,0
109,1996-01-31,1996-01-31,0.0372,None,None,None
