,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2023-03-31,2023-04-25,0.48,0.43,0.05,11.6279
1,2022-12-31,2023-01-31,0.65,0.65,0,0
2,2022-09-30,2022-10-25,0.58,0.5,0.08,16
3,2022-06-30,2022-07-26,0.42,0.45,-0.03,-6.6667
4,2022-03-31,2022-04-26,0.31,0.32,-0.01,-3.125
5,2021-12-31,2022-01-27,0.56,0.53,0.03,5.6604
6,2021-09-30,2021-10-26,0.46,0.46,0,0
7,2021-06-30,2021-07-27,0.43,0.39,0.04,10.2564
8,2021-03-31,2021-04-27,0.3,0.25,0.05,20
9,2020-12-31,2021-01-28,0.55,0.53,0.02,3.7736
10,2020-09-30,2020-10-27,0.43,0.43,0,0
11,2020-06-30,2020-07-28,0.35,0.34,0.01,2.9412
12,2020-03-31,2020-04-28,0.23,0.25,-0.02,-8
13,2019-12-31,2020-01-27,0.58,0.57,0.01,1.7544
14,2019-09-30,2019-10-24,0.48,0.46,0.02,4.3478
15,2019-06-30,2019-07-25,0.4,0.4,0,0
16,2019-03-31,2019-04-25,0.26,0.21,0.05,23.8095
17,2018-12-31,2019-01-29,0.59,0.57,0.02,3.5088
18,2018-09-30,2018-10-23,0.54,0.45,0.09,20
19,2018-06-30,2018-07-26,0.48,0.44,0.04,9.0909
20,2018-03-31,2018-05-01,0.28,0.26,0.02,7.6923
21,2017-12-31,2018-01-30,0.53,0.52,0.01,1.9231
22,2017-09-30,2017-10-24,0.55,0.55,0,0
23,2017-06-30,2017-07-25,0.57,0.54,0.03,5.5556
24,2017-03-31,2017-04-25,0.46,0.42,0.04,9.5238
25,2016-12-31,2017-01-26,0.66,0.63,0.03,4.7619
26,2016-09-30,2016-10-25,0.58,0.52,0.06,11.5385
27,2016-06-30,2016-07-26,0.5,0.47,0.03,6.383
28,2016-03-31,2016-04-28,0.37,0.38,-0.01,-2.6316
29,2015-12-31,2016-01-27,0.63,0.59,0.04,6.7797
30,2015-09-30,2015-10-22,0.57,0.53,0.04,7.5472
31,2015-06-30,2015-07-23,0.53,0.4,0.13,32.5
32,2015-03-31,2015-04-23,0.32,0.31,0.01,3.2258
33,2014-12-31,2015-01-27,0.41,0.31,0.1,32.2581
34,2014-09-30,2014-10-23,0.36,0.35,0.01,2.8571
35,2014-06-30,2014-07-22,0.4,0.38,0.02,5.2632
36,2014-03-31,2014-04-22,0.29,0.29,0,0
37,2013-12-31,2014-01-23,0.43,0.37,0.06,16.2162
38,2013-09-30,2013-10-22,0.33,0.31,0.02,6.4516
39,2013-06-30,2013-07-23,0.29,0.25,0.04,16
40,2013-03-31,2013-04-23,0.21,0.21,0,0
41,2012-12-31,2013-01-24,0.28,0.22,0.06,27.2727
42,2012-09-30,2012-10-23,0.22,0.17,0.05,29.4118
43,2012-06-30,2012-07-24,0.19,0.16,0.03,18.75
44,2012-03-31,2012-04-24,0.16,0.13,0.03,23.0769
45,2011-12-31,2012-01-26,0.28,0.28,0,0
46,2011-09-30,2011-10-18,0.28,0.28,0,0
47,2011-06-30,2011-07-26,0.31,0.33,-0.02,-6.0606
48,2011-03-31,2011-04-19,0.32,0.32,0,0
49,2010-12-31,2011-01-25,0.39,0.37,0.02,5.4054
50,2010-09-30,2010-10-19,0.32,0.32,0,0
