,fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
0,2023-03-31,2023-04-25,0.49,0.17,0.32,188.2353
1,2022-12-31,2023-01-26,0.89,0.49,0.4,81.6327
2,2022-09-30,2022-10-25,0.19,0.4,-0.21,-52.5
3,2022-06-30,2022-07-26,0.13,0.08,0.05,62.5
4,2022-03-31,2022-04-21,-0.12,0.13,-0.25,-192.3077
5,2021-12-31,2022-01-25,0.34,0.3,0.04,13.3333
6,2021-09-30,2021-10-26,0.48,0.44,0.04,9.0909
7,2021-06-30,2021-07-27,0.47,0.35,0.12,34.2857
8,2021-03-31,2021-04-20,0.22,0.3,-0.08,-26.6667
9,2020-12-31,2021-01-26,0.58,0.6,-0.02,-3.3333
10,2020-09-30,2020-10-27,0.48,0.22,0.26,118.1818
11,2020-06-30,2020-07-28,0.15,-0.07,0.22,314.2857
12,2020-03-31,2020-04-28,0.21,0.29,-0.08,-27.5862
13,2019-12-31,2020-01-28,1.33,1.11,0.22,19.8198
14,2019-09-30,2019-10-29,1.08,0.86,0.22,25.5814
15,2019-06-30,2019-07-30,0.99,0.88,0.11,12.5
16,2019-03-31,2019-04-25,0.91,0.8,0.11,13.75
17,2018-12-31,2019-01-29,1.14,1.04,0.1,9.6154
18,2018-09-30,2018-10-23,0.85,0.78,0.07,8.9744
19,2018-06-30,2018-07-26,0.8,0.83,-0.03,-3.6145
20,2018-03-31,2018-05-02,0.68,0.73,-0.05,-6.8493
21,2017-12-31,2018-01-30,1.04,0.96,0.08,8.3333
22,2017-09-30,2017-10-26,0.89,0.83,0.06,7.2289
23,2017-06-30,2017-08-01,0.87,0.8,0.07,8.75
24,2017-03-31,2017-04-25,0.6,0.64,-0.04,-6.25
25,2016-12-31,2017-01-31,1,1,0,0
26,2016-09-30,2016-10-28,1.08,1.09,-0.01,-0.9174
27,2016-06-30,2016-07-29,1.2,0.98,0.22,22.449
28,2016-03-31,2016-04-25,0.88,0.92,-0.04,-4.3478
29,2015-12-31,2016-01-29,1.28,1.13,0.15,13.2743
30,2015-09-30,2015-10-26,0.96,0.91,0.05,5.4945
31,2015-06-30,2015-07-24,0.88,0.89,-0.01,-1.1236
32,2015-03-31,2015-04-24,0.84,0.85,-0.01,-1.1765
33,2014-12-31,2015-01-30,1.24,1.15,0.09,7.8261
34,2014-09-30,2014-10-22,1.08,1.05,0.03,2.8571
35,2014-06-30,2014-07-25,1.08,1.04,0.04,3.8462
36,2014-03-31,2014-04-22,1.08,0.95,0.13,13.6842
37,2013-12-31,2014-01-24,1.16,1.15,0.01,0.8696
38,2013-09-30,2013-10-24,1.04,1,0.04,4
39,2013-06-30,2013-07-25,1.08,0.96,0.12,12.5
40,2013-03-31,2013-04-23,1.08,0.95,0.13,13.6842
41,2012-12-31,2013-01-24,1.2,1.15,0.05,4.3478
42,2012-09-30,2012-10-23,1,1,0,0
43,2012-06-30,2012-07-20,1.04,1.05,-0.01,-0.9524
44,2012-03-31,2012-04-23,0.92,0.9,0.02,2.2222
45,2011-12-31,2012-01-25,1.32,1.3,0.02,1.5385
46,2011-09-30,2011-10-25,1.04,1,0.04,4
47,2011-06-30,2011-07-22,1.08,0.96,0.12,12.5
48,2011-03-31,2011-04-21,0.92,0.86,0.06,6.9767
49,2010-12-31,2011-01-26,1.16,1.14,0.02,1.7544
50,2010-09-30,2010-10-21,0.88,0.85,0.03,3.5294
51,2010-06-30,2010-07-22,0.96,0.83,0.13,15.6627
52,2010-03-31,2010-04-23,0.72,0.52,0.2,38.4615
53,2009-12-31,2010-01-21,1,0.87,0.13,14.9425
54,2009-09-30,2009-10-22,0.56,0.47,0.09,19.1489
55,2009-06-30,2009-07-23,0.64,0.45,0.19,42.2222
56,2009-03-31,2009-04-24,0.2,0.16,0.04,25
57,2008-12-31,2009-01-23,1.2,1.36,-0.16,-11.7647
58,2008-09-30,2008-10-23,1.16,1.14,0.02,1.7544
59,2008-06-30,2008-07-24,0.96,0.96,0,0
60,2008-03-31,2008-04-18,1.08,1.08,0,0
61,2007-12-31,2008-01-24,1.64,1.62,0.02,1.2346
62,2007-09-30,2007-10-19,1.08,1.04,0.04,3.8462
63,2007-06-30,2007-07-25,1.12,1.09,0.03,2.7523
64,2007-03-31,2007-04-20,0.96,0.81,0.15,18.5185
65,2006-12-31,2007-01-23,1.52,1.46,0.06,4.1096
66,2006-09-30,2006-10-23,0.92,0.88,0.04,4.5455
67,2006-06-30,2006-07-25,1,0.93,0.07,7.5269
68,2006-03-31,2006-04-24,0.8,0.86,-0.06,-6.9767
69,2005-12-31,2006-01-25,1.28,1.27,0.01,0.7874
70,2005-09-30,2005-10-21,0.72,0.71,0.01,1.4085
71,2005-06-30,2005-07-25,0.8,0.92,-0.12,-13.0435
72,2005-03-31,2005-04-21,0.8,0.78,0.02,2.5641
73,2004-12-31,2005-01-25,0.96,0.88,0.08,9.0909
74,2004-09-30,2004-10-21,0.68,0.55,0.13,23.6364
75,2004-06-30,2004-07-23,0.84,0.68,0.16,23.5294
76,2004-03-31,2004-04-23,1,0.62,0.38,61.2903
77,2003-12-31,2004-01-27,0.76,0.6,0.16,26.6667
78,2003-09-30,2003-10-23,0.44,0.41,0.03,7.3171
79,2003-06-30,2003-07-28,0.56,0.49,0.07,14.2857
80,2003-03-31,2003-04-23,0.52,0.31,0.21,67.7419
81,2002-12-31,2003-01-28,0.04,-0.42,0.46,109.5238
82,2002-09-30,2002-10-23,0.2,0.1,0.1,100
83,2002-06-30,2002-07-25,0.48,-0.07,0.55,785.7143
84,2002-03-31,2002-04-25,-0.24,-0.02,-0.22,-1100
85,2001-12-31,2002-01-28,0.6,-0.04,0.64,1600
86,2001-09-30,2001-10-23,-0.96,-0.96,0,0
87,2001-06-30,2001-07-25,-0.4,-0.39,-0.01,-2.5641
88,2001-03-31,2001-04-19,-0.48,-0.98,0.5,51.0204
89,2000-12-31,2001-01-29,-1.24,-1.18,-0.06,-5.0847
90,2000-09-30,2000-10-24,-0.8,-0.74,-0.06,-8.1081
91,2000-06-30,2000-07-26,1.2,1.16,0.04,3.4483
92,2000-03-31,2000-04-25,1.2,1,0.2,20
93,1999-12-31,2000-01-25,1.64,1.59,0.05,3.1447
94,1999-09-30,1999-10-18,1.88,1.92,-0.04,-2.0833
95,1999-06-30,1999-07-22,2.48,2.48,0,0
96,1999-03-31,1999-04-22,2,1.91,0.09,4.712
97,1998-12-31,1999-01-25,3.38,3.33,0.05,1.5015
98,1998-09-30,1998-10-22,2.1,2.08,0.02,0.9615
99,1998-06-30,1998-07-23,2.34,2.13,0.21,9.8592
100,1998-03-31,1998-04-22,1.68,1.66,0.02,1.2048
101,1997-12-31,1998-01-23,2.92,2.82,0.1,3.5461
102,1997-09-30,1997-10-23,1.76,1.74,0.02,1.1494
103,1997-06-30,1997-07-24,1.8,1.79,0.01,0.5587
104,1997-03-31,1997-04-22,1.5,1.39,0.11,7.9137
105,1996-12-31,1997-01-23,2.34,2.29,0.05,2.1834
106,1996-09-30,1996-10-18,1.36,1.66,-0.3,-18.0723
107,1996-06-30,1996-07-25,1.62,1.62,0,0
108,1996-03-31,1996-04-25,1.3,1.18,0.12,10.1695
